sector,year,value
Aluminium,2020,0.96
Aluminium,2025,1.9984262200404277
Aluminium,2030,3.249979786312446
Aluminium,2035,4.328053710655501
Aluminium,2040,4.760334969679469
Aluminium,2045,3.595583309269421
Aluminium,2050,1.7892867455963042
Cement,2020,49.5
Cement,2025,56.69676258992806
Cement,2030,61.86906474820144
Cement,2035,63.81323741007194
Cement,2040,61.8979856115108
Cement,2045,42.41647482014388
Cement,2050,30.21611510791367
Fertilizer,2020,10.7
Fertilizer,2025,11.441524756189047
Fertilizer,2030,11.893492123030757
Fertilizer,2035,11.225086271567893
Fertilizer,2040,9.919448612153037
Fertilizer,2045,8.443677794448613
Fertilizer,2050,7.3057576894223555
Iron and Steel,2020,94.88
Iron and Steel,2025,106.54070897372337
Iron and Steel,2030,114.09005453644026
Iron and Steel,2035,117.77814576103123
Iron and Steel,2040,115.36864154685175
Iron and Steel,2045,64.7281110560238
Iron and Steel,2050,33.255453644025785
Petroleum Refinery,2020,11.17
Petroleum Refinery,2025,14.992261387045092
Petroleum Refinery,2030,18.966115815976195
Petroleum Refinery,2035,20.752917143511105
Petroleum Refinery,2040,20.919860379949647
Petroleum Refinery,2045,18.58746967269398
Petroleum Refinery,2050,12.359002059967958
Thermal Power Plant,2020,350.52
Thermal Power Plant,2025,468.9928782323427
Thermal Power Plant,2030,611.6056123761739
Thermal Power Plant,2035,773.9695896854496
Thermal Power Plant,2040,941.6587337578799
Thermal Power Plant,2045,771.2233141965779
Thermal Power Plant,2050,571.2333963720571
