# File: A10.EB_SecFuel_mtoe.csv
# Title: Database of fuel consumption across sectors
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,Agriculture energy use,Diesel and products,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.14007,5.46008,6.79007,6.91008,7.42007,7.56005,8.37004,8.97003,9.35003,9.24003,9.49002
India,Agriculture energy use,Electricity,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.55019,7.94018,8.62018,9.01018,9.52018,10.85016,11.22017,11.78018,12.78018,13.47016,14.65016
India,Agriculture energy use,LPG,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.01036
India,Agriculture energy use,Other Oils,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.01036,0.05032,0.04034,0.05033,0.06032,0.06031,0.04033,0.08031
India,Industrial Energy Use,Diesel and products,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037
India,Industrial Energy Use,Ind_enuse Biomass,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,34.37194,37.14197,36.61196,36.19195,38.87194,41.91191,39.68193,41.40189,40.0119,46.14189,45.20187
India,Industrial Energy Use,Ind_enuse Coal,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.45104,36.83105,43.35102,50.88097,55.07096,66.63091,74.58098,77.25095,82.2609,86.19094,88.57088
India,Industrial Energy Use,Ind_enuse Electricity,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,7.16092,8.7809,9.68087,9.83086,10.87085,12.35078,13.6408,14.27077,14.81076,16.68075,17.97075
India,Industrial Energy Use,Ind_enuse Gas,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,3.77174,5.740855553,6.150855553,6.510835553,8.120775553,8.280795553,8.350845553,8.960835553,8.270835553,9.710835553,11.44082555
India,Industrial Energy Use,Ind_enuse Hydrogen,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185
