# File: A10.EB_bld_SecFuel_mtoe.csv
# Title: Database of fuel consumption across sectors
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,Commercial,Coal and products,5.7159,4.9127,4.1917,7.6451,12.5477,9.5431,5.368,8.5525,7.4155,8.6499,8.6395,5.7159,4.9127,4.1917,7.6451,12.5477,9.5431,5.368,8.5525,7.4155,8.6499,8.6395,5.7159,4.9127,4.1917,7.6451,12.5477,9.5431,5.368,8.5525,7.4155,8.6499,8.6395,8.6395,5.7159,4.9127,4.1917,7.6451,12.5477,9.5431,5.368,8.5525,7.4155,8.6499,8.6395
India,Commercial,Diesel and products,2.4051,2.2739,2.3913,2.1041,2.461,2.3742,2.2336,2.0641,1.8969,1.8859,2.0937,2.4051,2.2739,2.3913,2.1041,2.461,2.3742,2.2336,2.0641,1.8969,1.8859,2.0937,2.4051,2.2739,2.3913,2.1041,2.461,2.3742,2.2336,2.0641,1.8969,1.8859,2.0937,2.0937,2.4051,2.2739,2.3913,2.1041,2.461,2.3742,2.2336,2.0641,1.8969,1.8859,2.0937
India,Commercial,Electricity,4.8208,5.5475,6.5684,6.7194,7.2467,7.7891,8.7182,9.5145,10.0345,10.5906,11.4371,4.8208,5.5475,6.5684,6.7194,7.2467,7.7891,8.7182,9.5145,10.0345,10.5906,11.4371,4.8208,5.5475,6.5684,6.7194,7.2467,7.7891,8.7182,9.5145,10.0345,10.5906,11.4371,11.4371,4.8208,5.5475,6.5684,6.7194,7.2467,7.7891,8.7182,9.5145,10.0345,10.5906,11.4371
India,Commercial,FuelWood,6.0006,6.0942,6.1871,6.2787,6.3685,6.4561,6.5414,6.6244,6.7057,6.7859,6.8656,6.0006,6.0942,6.1871,6.2787,6.3685,6.4561,6.5414,6.6244,6.7057,6.7859,6.8656,6.0006,6.0942,6.1871,6.2787,6.3685,6.4561,6.5414,6.6244,6.7057,6.7859,6.8656,6.8656,6.0006,6.0942,6.1871,6.2787,6.3685,6.4561,6.5414,6.6244,6.7057,6.7859,6.8656
India,Commercial,LPG,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.7526,1.1558,1.2099,1.6012,1.7187,1.6499,1.5186,1.2579,1.2129,1.6935
India,Commercial,Natural gas,0.0007,0.0007,0.0011,0.0011,0.0016,0.0019,0.0024,0.0024,0.0024,0.002,0.0018,0.0007,0.0007,0.0011,0.0011,0.0016,0.0019,0.0024,0.0024,0.0024,0.002,0.0018,0.0007,0.0007,0.0011,0.0011,0.0016,0.0019,0.0024,0.0024,0.0024,0.002,0.0018,0.0018,0.0007,0.0007,0.0011,0.0011,0.0016,0.0019,0.0024,0.0024,0.0024,0.002,0.0018
India,Commercial,Other Oils,0.2683,0.4048,0.4133,0.2916,0.3397,0.3344,0.2693,0.1974,0.168,0.185,0.2106,0.2683,0.4048,0.4133,0.2916,0.3397,0.3344,0.2693,0.1974,0.168,0.185,0.2106,0.2683,0.4048,0.4133,0.2916,0.3397,0.3344,0.2693,0.1974,0.168,0.185,0.2106,0.2106,0.2683,0.4048,0.4133,0.2916,0.3397,0.3344,0.2693,0.1974,0.168,0.185,0.2106
India,Residential Rural,Coal and products,6.0819,7.5713,8.116,8.812,9.5531,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,1.1053,1.1053,1.1053,1.1053,1.1053,1.1053
India,Residential Rural,Diesel and products,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576
India,Residential Rural,Electricity,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,5.0779,5.3414,5.712,6.253,6.0819,7.5713,8.116,8.812,9.5531,10.7851
