# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.504348944,0.519596055,0.54002066,0.56072085,0.574160416,0.583605679
India,trn_freight_dom_ship,oil,trn_freight,refined liquids,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.639555136,0.415735906,0.263081706,0.265126244,0.29079118,0.296204041
India,trn_freight_rail,coal,trn_freight,coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_rail,electricity,trn_freight,electricity,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.568665585,0.604952971,0.629897229,0.652519858,0.708434855,0.734711459
India,trn_freight_rail,oil,trn_freight,refined liquids,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.098680412,1.1317946,1.176568312,1.221607938,1.250346927,1.271457948
India,trn_freight_road_truck,electricity,trn_freight,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_road_truck,gas,trn_freight,gas,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,0,0,0,0,0
India,trn_freight_road_truck,hydrogen,trn_freight,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_road_truck,oil,trn_freight,refined liquids,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,23.81579528,25.88352904,27.94036411,29.82189011,30.72300098,32.83496722
India,trn_pass_dom_aviation,oil,trn_pass,refined liquids,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.906125691,1.963576168,2.041255224,2.119395625,2.169255464,2.205881386
