# File: A44.india_state_in_EJ_comm_F_all_services_Y.csv
# Title: Commercial energy demand in India
# Units: EJ/yr
# Comments: commential cooking hvac lighting ref and others energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
India,comm,electricity,comm cooking,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.003260359
India,comm,gas,comm cooking,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,7.99E-05
India,comm,refined liquids,comm cooking,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.07002088,0.071957678
India,comm,electricity,comm hvac,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.179319767
India,comm,electricity,comm lighting,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.080287205,0.081508985
India,comm,electricity,comm ref,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026750949,0.026082875
India,comm,biomass,comm others,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.270035249,0.2687412
India,comm,coal,comm others,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.399426487,0.45384612
India,comm,electricity,comm others,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.03748066,0.035863953
India,comm,refined liquids,comm others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
