# File: A44.india_state_in_EJ_res_F_cooking_Y.csv
# Title: State-wise cooking energy demand in India
# Units: EJ/yr
# Comments: Residential cooking energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
India,resid rural,biomass,resid rural cooking,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0
India,resid rural,coal,resid rural cooking,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0.04296711,0
India,resid rural,electricity,resid rural cooking,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.0106075,0.001136147
India,resid rural,gas,resid rural cooking,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0
India,resid rural,refined liquids,resid rural cooking,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.117906741,0.18451686
India,resid rural,traditional biomass,resid rural cooking,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,5.57558456
India,resid urban,biomass,resid urban cooking,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0
India,resid urban,coal,resid urban cooking,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0.054782517,0
India,resid urban,electricity,resid urban cooking,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.002174656,0.000339839
India,resid urban,gas,resid urban cooking,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.343198392,0.024059247
