# File: A44.india_state_subregional_income_share.csv
# Title: Subregional income share
# Units: Share
# Source: Same as pop share
# Column types: ccnn
# ----------
region,gcam.consumer,inc.year.fillout,subregional.income.share
India,comm,1975,1
India,comm,1990,1
India,comm,2005,1
India,comm,2010,1
India,comm,2015,1
India,comm,2020,1
India,comm,2025,1
India,comm,2030,1
India,comm,2035,1
India,comm,2040,1
India,comm,2045,1
India,comm,2050,1
India,comm,2055,1
India,comm,2060,1
India,comm,2065,1
India,comm,2070,1
India,comm,2075,1
India,comm,2080,1
India,comm,2085,1
India,comm,2090,1
India,comm,2095,1
India,comm,2100,1
India,resid rural,1975,0.43
India,resid rural,1990,0.4859
India,resid rural,2005,0.4397
India,resid rural,2010,0.42
India,resid rural,2015,0.4002
India,resid rural,2020,0.3856
India,resid rural,2025,0.3623
India,resid rural,2030,0.3405
India,resid rural,2035,0.3199
India,resid rural,2040,0.3005
India,resid rural,2045,0.2822
India,resid rural,2050,0.2646
India,resid rural,2055,0.2515
India,resid rural,2060,0.2389
India,resid rural,2065,0.2266
India,resid rural,2070,0.2147
India,resid rural,2075,0.2031
India,resid rural,2080,0.1917
India,resid rural,2085,0.1804
India,resid rural,2090,0.1693
India,resid rural,2095,0.1582
India,resid rural,2100,0.1471
India,resid urban,1975,0.57
India,resid urban,1990,0.5141
India,resid urban,2005,0.5603
India,resid urban,2010,0.58
India,resid urban,2015,0.5998
India,resid urban,2020,0.6144
India,resid urban,2025,0.6377
India,resid urban,2030,0.6595
India,resid urban,2035,0.6801
India,resid urban,2040,0.6995
India,resid urban,2045,0.7178
India,resid urban,2050,0.7354
India,resid urban,2055,0.7485
India,resid urban,2060,0.7611
India,resid urban,2065,0.7734
India,resid urban,2070,0.7853
India,resid urban,2075,0.7969
India,resid urban,2080,0.8083
India,resid urban,2085,0.8196
India,resid urban,2090,0.8307
India,resid urban,2095,0.8418
India,resid urban,2100,0.8529
