# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India
# Column types: ccnn
# ----------
region,gcam.consumer,pop.year.fillout,subregional.population.share
India,comm,1975,1
India,comm,1990,1
India,comm,2005,1
India,comm,2010,1
India,comm,2015,1
India,comm,2020,1
India,comm,2025,1
India,comm,2030,1
India,comm,2035,1
India,comm,2040,1
India,comm,2045,1
India,comm,2050,1
India,comm,2055,1
India,comm,2060,1
India,comm,2065,1
India,comm,2070,1
India,comm,2075,1
India,comm,2080,1
India,comm,2085,1
India,comm,2090,1
India,comm,2095,1
India,comm,2100,1
India,resid rural,1975,0.7446
India,resid rural,1990,0.7446
India,resid rural,2005,0.7077
India,resid rural,2010,0.6907
India,resid rural,2015,0.6730
India,resid rural,2020,0.6553
India,resid rural,2025,0.6282
India,resid rural,2030,0.6011
India,resid rural,2035,0.5741
India,resid rural,2040,0.5470
India,resid rural,2045,0.5199
India,resid rural,2050,0.4928
India,resid rural,2055,0.4692
India,resid rural,2060,0.4455
India,resid rural,2065,0.4219
India,resid rural,2070,0.3982
India,resid rural,2075,0.3746
India,resid rural,2080,0.3510
India,resid rural,2085,0.3273
India,resid rural,2090,0.3037
India,resid rural,2095,0.2800
India,resid rural,2100,0.2564
India,resid urban,1975,0.2554
India,resid urban,1990,0.2554
India,resid urban,2005,0.2924
India,resid urban,2010,0.3093
India,resid urban,2015,0.3270
India,resid urban,2020,0.3447
India,resid urban,2025,0.3718
India,resid urban,2030,0.3989
India,resid urban,2035,0.4259
India,resid urban,2040,0.4530
India,resid urban,2045,0.4801
India,resid urban,2050,0.5072
India,resid urban,2055,0.5308
India,resid urban,2060,0.5545
India,resid urban,2065,0.5781
India,resid urban,2070,0.6018
India,resid urban,2075,0.6254
India,resid urban,2080,0.6490
India,resid urban,2085,0.6727
India,resid urban,2090,0.6963
India,resid urban,2095,0.7200
India,resid urban,2100,0.7436
