INPUT_TABLE,,,,,,
Variable ID,,,,,,
HDDCDD,,,,,,
,,,,,,
region,gcam-consumer,nodeInput,building-node-input,thermal-building-service-input,year,degree-days
India,comm,comm,comm_building,comm cooling,1975,2906
India,comm,comm,comm_building,comm cooling,1990,2976
India,comm,comm,comm_building,comm cooling,2005,3105
India,comm,comm,comm_building,comm cooling,2010,3162
India,comm,comm,comm_building,comm cooling,2015,3227
India,comm,comm,comm_building,comm cooling,2020,3298
India,comm,comm,comm_building,comm cooling,2025,3375
India,comm,comm,comm_building,comm cooling,2030,3458
India,comm,comm,comm_building,comm cooling,2035,3545
India,comm,comm,comm_building,comm cooling,2040,3635
India,comm,comm,comm_building,comm cooling,2045,3727
India,comm,comm,comm_building,comm cooling,2050,3820
India,comm,comm,comm_building,comm cooling,2055,3911
India,comm,comm,comm_building,comm cooling,2060,3999
India,comm,comm,comm_building,comm cooling,2065,4083
India,comm,comm,comm_building,comm cooling,2070,4158
India,comm,comm,comm_building,comm cooling,2075,4225
India,comm,comm,comm_building,comm cooling,2080,4278
India,comm,comm,comm_building,comm cooling,2085,4317
India,comm,comm,comm_building,comm cooling,2090,4338
India,comm,comm,comm_building,comm cooling,2095,4338
India,comm,comm,comm_building,comm cooling,2100,4320
India,resid,resid,resid_building,resid cooling,1975,2906
India,resid,resid,resid_building,resid cooling,1990,2976
India,resid,resid,resid_building,resid cooling,2005,3105
India,resid,resid,resid_building,resid cooling,2010,3162
India,resid,resid,resid_building,resid cooling,2015,3227
India,resid,resid,resid_building,resid cooling,2020,3298
India,resid,resid,resid_building,resid cooling,2025,3375
India,resid,resid,resid_building,resid cooling,2030,3458
India,resid,resid,resid_building,resid cooling,2035,3545
India,resid,resid,resid_building,resid cooling,2040,3635
India,resid,resid,resid_building,resid cooling,2045,3727
India,resid,resid,resid_building,resid cooling,2050,3820
India,resid,resid,resid_building,resid cooling,2055,3911
India,resid,resid,resid_building,resid cooling,2060,3999
India,resid,resid,resid_building,resid cooling,2065,4083
India,resid,resid,resid_building,resid cooling,2070,4158
India,resid,resid,resid_building,resid cooling,2075,4225
India,resid,resid,resid_building,resid cooling,2080,4278
India,resid,resid,resid_building,resid cooling,2085,4317
India,resid,resid,resid_building,resid cooling,2090,4338
India,resid,resid,resid_building,resid cooling,2095,4338
India,resid,resid,resid_building,resid cooling,2100,4320
India,resid,resid,resid_building,resid heating,1975,303
India,resid,resid,resid_building,resid heating,1990,291
India,resid,resid,resid_building,resid heating,2005,270
India,resid,resid,resid_building,resid heating,2010,262
India,resid,resid,resid_building,resid heating,2015,253
India,resid,resid,resid_building,resid heating,2020,244
India,resid,resid,resid_building,resid heating,2025,234
India,resid,resid,resid_building,resid heating,2030,225
India,resid,resid,resid_building,resid heating,2035,216
India,resid,resid,resid_building,resid heating,2040,207
India,resid,resid,resid_building,resid heating,2045,198
India,resid,resid,resid_building,resid heating,2050,190
India,resid,resid,resid_building,resid heating,2055,182
India,resid,resid,resid_building,resid heating,2060,175
India,resid,resid,resid_building,resid heating,2065,168
India,resid,resid,resid_building,resid heating,2070,162
India,resid,resid,resid_building,resid heating,2075,157
India,resid,resid,resid_building,resid heating,2080,153
India,resid,resid,resid_building,resid heating,2085,150
India,resid,resid,resid_building,resid heating,2090,147
India,resid,resid,resid_building,resid heating,2095,146
India,resid,resid,resid_building,resid heating,2100,145
