INPUT_TABLE,,,,,
Variable ID,,,,,
Floorspace,,,,,
,,,,,
region,gcam.consumer,nodeInput,building.node.input,year,base.building.size
India,comm,comm,comm_building,2020,1.06386
India,comm,comm,comm_building,2025,1.49123
India,comm,comm,comm_building,2030,2.04416
India,comm,comm,comm_building,2035,2.71314
India,comm,comm,comm_building,2040,3.48816
India,comm,comm,comm_building,2045,4.35592
India,comm,comm,comm_building,2050,5.29196
India,comm,comm,comm_building,2055,6.27628
India,comm,comm,comm_building,2060,7.27462
India,comm,comm,comm_building,2065,8.26163
India,comm,comm,comm_building,2070,9.20687
India,comm,comm,comm_building,2075,9.20687
India,comm,comm,comm_building,2080,9.20687
India,comm,comm,comm_building,2085,9.20687
India,comm,comm,comm_building,2090,9.20687
India,comm,comm,comm_building,2095,9.20687
India,comm,comm,resid_building,2100,9.20687
India,resid,resid,resid_building,2020,15.97003
India,resid,resid,resid_building,2025,17.68272
India,resid,resid,resid_building,2030,19.66306
India,resid,resid,resid_building,2035,21.8247
India,resid,resid,resid_building,2040,24.1404
India,resid,resid,resid_building,2045,26.5893
India,resid,resid,resid_building,2050,29.1239
India,resid,resid,resid_building,2055,31.708
India,resid,resid,resid_building,2060,34.265
India,resid,resid,resid_building,2065,36.7432
India,resid,resid,resid_building,2070,39.0775
India,resid,resid,resid_building,2075,39.0775
India,resid,resid,resid_building,2080,39.0775
India,resid,resid,resid_building,2085,39.0775
India,resid,resid,resid_building,2090,39.0775
India,resid,resid,resid_building,2095,39.0775
India,resid,resid,resid_building,2100,39.0775
