INPUT_TABLE,,,,,
Variable ID,,,,,
SubregionalShares,,,,,
,,,,,
region,gcam.consumer,pop.year.fillout,inc.year.fillout,subregional.population.share,subregional.income.share
India,comm,1975,1975,1,1
India,comm,1990,1990,1,1
India,comm,2005,2005,1,1
India,comm,2010,2010,1,1
India,comm,2015,2015,1,1
India,comm,2020,2020,1,1
India,comm,2025,2025,1,1
India,comm,2030,2030,1,1
India,comm,2035,2035,1,1
India,comm,2040,2040,1,1
India,comm,2045,2045,1,1
India,comm,2050,2050,1,1
India,comm,2055,2055,1,1
India,comm,2060,2060,1,1
India,comm,2065,2065,1,1
India,comm,2070,2070,1,1
India,comm,2075,2075,1,1
India,comm,2080,2080,1,1
India,comm,2085,2085,1,1
India,comm,2090,2090,1,1
India,comm,2095,2095,1,1
India,comm,2100,2100,1,1
India,resid rural,1975,1975,0.7446,0.485922164
India,resid rural,1990,1990,0.7446,0.485922164
India,resid rural,2005,2005,0.7077,0.448193758
India,resid rural,2010,2010,0.6907,0.437090538
India,resid rural,2015,2015,0.673,0.426125649
India,resid rural,2020,2020,0.6553,0.416121184
India,resid rural,2025,2025,0.61477,0.397304687
India,resid rural,2030,2030,0.57424,0.379991392
India,resid rural,2035,2035,0.53371,0.363993182
India,resid rural,2040,2040,0.49318,0.349149388
India,resid rural,2045,2045,0.45265,0.335321368
India,resid rural,2050,2050,0.41212,0.322388149
India,resid rural,2055,2055,0.37159,0.313210465
India,resid rural,2060,2060,0.33106,0.304672086
India,resid rural,2065,2065,0.29053,0.296732276
India,resid rural,2070,2070,0.25,0.289358653
India,resid rural,2075,2075,0.25,0.282527255
India,resid rural,2080,2080,0.25,0.276223124
India,resid rural,2085,2085,0.25,0.270441566
India,resid rural,2090,2090,0.25,0.265190435
India,resid rural,2095,2095,0.25,0.260494001
India,resid rural,2100,2100,0.25,0.2563995
India,resid urban,1975,1975,0.2554,0.514077836
India,resid urban,1990,1990,0.2554,0.514077836
India,resid urban,2005,2005,0.2924,0.551806242
India,resid urban,2010,2010,0.3093,0.562909462
India,resid urban,2015,2015,0.327,0.573874351
India,resid urban,2020,2020,0.3447,0.583878816
India,resid urban,2025,2025,0.38523,0.602695313
India,resid urban,2030,2030,0.42576,0.620008608
India,resid urban,2035,2035,0.46629,0.636006818
India,resid urban,2040,2040,0.50682,0.650850612
India,resid urban,2045,2045,0.54735,0.664678632
India,resid urban,2050,2050,0.58788,0.677611851
India,resid urban,2055,2055,0.62841,0.686789535
India,resid urban,2060,2060,0.66894,0.695327914
India,resid urban,2065,2065,0.70947,0.703267724
India,resid urban,2070,2070,0.75,0.710641347
India,resid urban,2075,2075,0.75,0.717472745
India,resid urban,2080,2080,0.75,0.723776876
India,resid urban,2085,2085,0.75,0.729558434
India,resid urban,2090,2090,0.75,0.734809565
India,resid urban,2095,2095,0.75,0.739505999
India,resid urban,2100,2100,0.75,0.7436005
