INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
TechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,technology,year,minicam-energy-input,efficiency,market-name
India,other industrial energy use,biomass,biomass,2020,delivered biomass,0.8778,India
India,other industrial energy use,biomass,biomass,2025,delivered biomass,0.909696568,India
India,other industrial energy use,biomass,biomass,2030,delivered biomass,0.94275216,India
India,other industrial energy use,biomass,biomass,2035,delivered biomass,0.977008892,India
India,other industrial energy use,biomass,biomass,2040,delivered biomass,1.012510408,India
India,other industrial energy use,biomass,biomass,2045,delivered biomass,1.04930194,India
India,other industrial energy use,biomass,biomass,2050,delivered biomass,1.087430365,India
India,other industrial energy use,biomass,biomass,2055,delivered biomass,1.098304668,India
India,other industrial energy use,biomass,biomass,2060,delivered biomass,1.109287715,India
India,other industrial energy use,biomass,biomass,2065,delivered biomass,1.120380592,India
India,other industrial energy use,biomass,biomass,2070,delivered biomass,1.131584397,India
India,other industrial energy use,biomass,biomass,2075,delivered biomass,1.142900241,India
India,other industrial energy use,biomass,biomass,2080,delivered biomass,1.154329243,India
India,other industrial energy use,biomass,biomass,2085,delivered biomass,1.165872535,India
India,other industrial energy use,biomass,biomass,2090,delivered biomass,1.17753126,India
India,other industrial energy use,biomass,biomass,2095,delivered biomass,1.189306573,India
India,other industrial energy use,biomass,biomass,2100,delivered biomass,1.201199638,India
India,other industrial energy use,coal,coal,2020,delivered coal,0.9702,India
India,other industrial energy use,coal,coal,2025,delivered coal,1.005454102,India
India,other industrial energy use,coal,coal,2030,delivered coal,1.04198923,India
India,other industrial energy use,coal,coal,2035,delivered coal,1.079851933,India
India,other industrial energy use,coal,coal,2040,delivered coal,1.119090451,India
India,other industrial energy use,coal,coal,2045,delivered coal,1.159754776,India
India,other industrial energy use,coal,coal,2050,delivered coal,1.201896719,India
India,other industrial energy use,coal,coal,2055,delivered coal,1.213915686,India
India,other industrial energy use,coal,coal,2060,delivered coal,1.226054843,India
India,other industrial energy use,coal,coal,2065,delivered coal,1.238315391,India
India,other industrial energy use,coal,coal,2070,delivered coal,1.250698544,India
India,other industrial energy use,coal,coal,2075,delivered coal,1.263205529,India
India,other industrial energy use,coal,coal,2080,delivered coal,1.275837584,India
India,other industrial energy use,coal,coal,2085,delivered coal,1.28859596,India
India,other industrial energy use,coal,coal,2090,delivered coal,1.301481919,India
India,other industrial energy use,coal,coal,2095,delivered coal,1.314496738,India
India,other industrial energy use,coal,coal,2100,delivered coal,1.327641705,India
India,other industrial energy use,electricity,electricity,2020,elect_td_ind,1.111,India
India,other industrial energy use,electricity,electricity,2025,elect_td_ind,1.151370343,India
India,other industrial energy use,electricity,electricity,2030,elect_td_ind,1.193207622,India
India,other industrial energy use,electricity,electricity,2035,elect_td_ind,1.236565139,India
India,other industrial energy use,electricity,electricity,2040,elect_td_ind,1.281498135,India
India,other industrial energy use,electricity,electricity,2045,elect_td_ind,1.32806386,India
India,other industrial energy use,electricity,electricity,2050,elect_td_ind,1.37632164,India
India,other industrial energy use,electricity,electricity,2055,elect_td_ind,1.390084856,India
India,other industrial energy use,electricity,electricity,2060,elect_td_ind,1.403985704,India
India,other industrial energy use,electricity,electricity,2065,elect_td_ind,1.418025561,India
India,other industrial energy use,electricity,electricity,2070,elect_td_ind,1.432205816,India
India,other industrial energy use,electricity,electricity,2075,elect_td_ind,1.446527874,India
India,other industrial energy use,electricity,electricity,2080,elect_td_ind,1.460993152,India
India,other industrial energy use,electricity,electricity,2085,elect_td_ind,1.475603083,India
India,other industrial energy use,electricity,electricity,2090,elect_td_ind,1.490359114,India
India,other industrial energy use,electricity,electricity,2095,elect_td_ind,1.505262705,India
India,other industrial energy use,electricity,electricity,2100,elect_td_ind,1.520315331,India
India,other industrial energy use,gas,gas,2020,wholesale gas,0.9823,India
India,other industrial energy use,gas,gas,2025,wholesale gas,1.017993779,India
India,other industrial energy use,gas,gas,2030,wholesale gas,1.05498456,India
India,other industrial energy use,gas,gas,2035,wholesale gas,1.093319474,India
India,other industrial energy use,gas,gas,2040,wholesale gas,1.133047361,India
India,other industrial energy use,gas,gas,2045,wholesale gas,1.174218838,India
India,other industrial energy use,gas,gas,2050,wholesale gas,1.216886361,India
India,other industrial energy use,gas,gas,2055,wholesale gas,1.229055224,India
India,other industrial energy use,gas,gas,2060,wholesale gas,1.241345776,India
India,other industrial energy use,gas,gas,2065,wholesale gas,1.253759233,India
India,other industrial energy use,gas,gas,2070,wholesale gas,1.266296825,India
India,other industrial energy use,gas,gas,2075,wholesale gas,1.278959793,India
India,other industrial energy use,gas,gas,2080,wholesale gas,1.291749391,India
India,other industrial energy use,gas,gas,2085,wholesale gas,1.304666885,India
India,other industrial energy use,gas,gas,2090,wholesale gas,1.317713553,India
India,other industrial energy use,gas,gas,2095,wholesale gas,1.330890688,India
India,other industrial energy use,gas,gas,2100,wholesale gas,1.344199595,India
India,other industrial energy use,hydrogen,hydrogen,2020,H2 industrial,1.1,India
India,other industrial energy use,hydrogen,hydrogen,2025,H2 industrial,1.139970637,India
India,other industrial energy use,hydrogen,hydrogen,2030,H2 industrial,1.181393685,India
India,other industrial energy use,hydrogen,hydrogen,2035,H2 industrial,1.224321919,India
India,other industrial energy use,hydrogen,hydrogen,2040,H2 industrial,1.268810035,India
India,other industrial energy use,hydrogen,hydrogen,2045,H2 industrial,1.314914712,India
India,other industrial energy use,hydrogen,hydrogen,2050,H2 industrial,1.362694693,India
India,other industrial energy use,hydrogen,hydrogen,2055,H2 industrial,1.37632164,India
India,other industrial energy use,hydrogen,hydrogen,2060,H2 industrial,1.390084856,India
India,other industrial energy use,hydrogen,hydrogen,2065,H2 industrial,1.403985704,India
India,other industrial energy use,hydrogen,hydrogen,2070,H2 industrial,1.41802556,India
India,other industrial energy use,hydrogen,hydrogen,2075,H2 industrial,1.432205816,India
India,other industrial energy use,hydrogen,hydrogen,2080,H2 industrial,1.446527873,India
India,other industrial energy use,hydrogen,hydrogen,2085,H2 industrial,1.460993152,India
