INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
India,industry,2015,0.87
India,industry,2020,0.85
India,industry,2025,0.82780517
India,industry,2030,0.809993058
India,industry,2035,0.792275648
India,industry,2040,0.774886158
India,industry,2045,0.757675492
India,industry,2050,0.740657875
India,industry,2055,0.644495311
India,industry,2060,0.626397546
India,industry,2065,0.608378758
India,industry,2070,0.590435774
India,industry,2075,0.576740956
India,industry,2080,0.563240046
India,industry,2085,0.549938658
India,industry,2090,0.536841234
India,industry,2095,0.523950708
India,industry,2100,0.511268101
India,agriculture,2015,0.30645306
India,agriculture,2020,0.30645306
India,agriculture,2025,0.305609559
India,agriculture,2030,0.243480359
India,agriculture,2035,0.181773742
India,agriculture,2040,0.150688351
India,agriculture,2045,0.11984327
India,agriculture,2050,0.089286909
India,agriculture,2055,0.073848547
India,agriculture,2060,0.058578222
India,agriculture,2065,0.043511903
India,agriculture,2070,0.035638491
India,agriculture,2075,0.02784545
India,agriculture,2080,0.020218129
India,agriculture,2085,0.016620387
India,agriculture,2090,0.013109402
India,agriculture,2095,0.009707041
India,agriculture,2100,0.009420027
