INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
India,industry,2015,0.87
India,industry,2020,0.85
India,industry,2025,0.990719004
India,industry,2030,0.950628902
India,industry,2035,0.914745186
India,industry,2040,0.881906078
India,industry,2045,0.851334479
India,industry,2050,0.822489577
India,industry,2055,0.737251249
India,industry,2060,0.715414326
India,industry,2065,0.693757737
India,industry,2070,0.672240008
India,industry,2075,0.541666667
India,industry,2080,0.533333333
India,industry,2085,0.525
India,industry,2090,0.516666667
India,industry,2095,0.508333333
India,industry,2100,0.5
India,agriculture,2015,0.30645306
India,agriculture,2020,0.30645306
India,agriculture,2025,0.305609559
India,agriculture,2030,0.243480359
India,agriculture,2035,0.181773742
India,agriculture,2040,0.150688351
India,agriculture,2045,0.11984327
India,agriculture,2050,0.089286909
India,agriculture,2055,0.073848547
India,agriculture,2060,0.058578222
India,agriculture,2065,0.043511903
India,agriculture,2070,0.035638491
India,agriculture,2075,0.02784545
India,agriculture,2080,0.020218129
India,agriculture,2085,0.016620387
India,agriculture,2090,0.013109402
India,agriculture,2095,0.009707041
India,agriculture,2100,0.009420027
