INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechCost,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,H2 central production,biomass,biomass to H2,2025,non-energy,2.8943
India,H2 central production,biomass,biomass to H2 CCS,2025,non-energy,3.772
India,H2 central production,coal,coal chemical,2025,non-energy,2.9137
India,H2 central production,coal,coal chemical CCS,2025,non-energy,3.772
India,H2 central production,electricity,electrolysis,2025,non-energy,-2.593247168
India,H2 central production,gas,natural gas steam reforming,2025,non-energy,1.0043
India,H2 central production,gas,natural gas steam reforming CCS,2025,non-energy,1.532
India,H2 central production,nuclear,thermal splitting,2025,non-energy,7
India,H2 central production,solar,electrolysis,2025,non-energy,6.174523543
India,H2 central production,wind,electrolysis,2025,non-energy,6.599299859
India,H2 distribution,H2 distribution,H2 distribution,2025,non-energy,3.31468
India,H2 forecourt production,electricity,electrolysis,2025,non-energy,7.397
India,H2 forecourt production,gas,natural gas steam reforming,2025,non-energy,6.2097
India,H2 central production,biomass,biomass to H2,2030,non-energy,2.8097
India,H2 central production,biomass,biomass to H2 CCS,2030,non-energy,3.666
India,H2 central production,coal,coal chemical,2030,non-energy,2.8283
India,H2 central production,coal,coal chemical CCS,2030,non-energy,3.666
India,H2 central production,electricity,electrolysis,2030,non-energy,-2.9673
India,H2 central production,gas,natural gas steam reforming,2030,non-energy,0.9797
India,H2 central production,gas,natural gas steam reforming CCS,2030,non-energy,1.485
India,H2 central production,nuclear,thermal splitting,2030,non-energy,7
India,H2 central production,solar,electrolysis,2030,non-energy,4.952037087
India,H2 central production,wind,electrolysis,2030,non-energy,5.801159718
India,H2 distribution,H2 distribution,H2 distribution,2030,non-energy,2.815523333
India,H2 forecourt production,electricity,electrolysis,2030,non-energy,7.397
India,H2 forecourt production,gas,natural gas steam reforming,2030,non-energy,5.9553
India,H2 central production,biomass,biomass to H2,2035,non-energy,2.725
India,H2 central production,biomass,biomass to H2 CCS,2035,non-energy,3.56
India,H2 central production,coal,coal chemical,2035,non-energy,2.743
India,H2 central production,coal,coal chemical CCS,2035,non-energy,3.56
India,H2 central production,electricity,electrolysis,2035,non-energy,-2.829037688
India,H2 central production,gas,natural gas steam reforming,2035,non-energy,0.955
India,H2 central production,gas,natural gas steam reforming CCS,2035,non-energy,1.438
India,H2 central production,nuclear,thermal splitting,2035,non-energy,7
India,H2 central production,solar,electrolysis,2035,non-energy,3.930089495
India,H2 central production,wind,electrolysis,2035,non-energy,4.632873793
India,H2 distribution,H2 distribution,H2 distribution,2035,non-energy,2.356026667
India,H2 forecourt production,electricity,electrolysis,2035,non-energy,7.397
India,H2 forecourt production,gas,natural gas steam reforming,2035,non-energy,5.701
India,H2 central production,biomass,biomass to H2,2040,non-energy,2.6477
India,H2 central production,biomass,biomass to H2 CCS,2040,non-energy,3.4627
India,H2 central production,coal,coal chemical,2040,non-energy,2.665
India,H2 central production,coal,coal chemical CCS,2040,non-energy,3.4627
India,H2 central production,electricity,electrolysis,2040,non-energy,-2.700848
India,H2 central production,gas,natural gas steam reforming,2040,non-energy,0.932
India,H2 central production,gas,natural gas steam reforming CCS,2040,non-energy,1.395
India,H2 central production,nuclear,thermal splitting,2040,non-energy,7
India,H2 central production,solar,electrolysis,2040,non-energy,2.908141904
India,H2 central production,wind,electrolysis,2040,non-energy,3.464277868
India,H2 distribution,H2 distribution,H2 distribution,2040,non-energy,2.01289
India,H2 forecourt production,electricity,electrolysis,2040,non-energy,7.397
India,H2 forecourt production,gas,natural gas steam reforming,2040,non-energy,5.4763
India,H2 central production,biomass,biomass to H2,2045,non-energy,2.5703
