INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2010,tax,0.02
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2015,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2025,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2030,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2035,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2040,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2045,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2050,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2055,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2060,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2065,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2070,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2075,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2080,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2085,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2090,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2095,tax,0
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2100,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2010,tax,0.02
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2015,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2020,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2025,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2030,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2035,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2040,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2045,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2050,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2055,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2060,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2065,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2070,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2075,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2080,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2085,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2090,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2095,tax,0
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2100,tax,0
