INPUT_TABLE
Variable ID
RegionFuelAdder

region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.096467835
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.067363174
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,-0.04614
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.03093
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2030,tax,-0.02036
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2035,tax,-0.01658
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2040,tax,-0.01520
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2045,tax,-0.01429
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2050,tax,-0.01297
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2055,tax,-0.01160
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2060,tax,-0.01037
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2065,tax,-0.00913
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2070,tax,-0.00801
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2075,tax,-0.00687
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2080,tax,-0.00589
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2085,tax,-0.00493
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2090,tax,-0.00407
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2095,tax,-0.00327
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2100,tax,-0.00243
India,trn_pass_road_LDV_4W,LDV_4W,NG,2010,tax,0.39943
India,trn_pass_road_LDV_4W,LDV_4W,NG,2015,tax,0.24055
India,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.07954
India,trn_pass_road_LDV_4W,LDV_4W,NG,2025,tax,-0.01195
India,trn_pass_road_LDV_4W,LDV_4W,NG,2030,tax,-0.01203
India,trn_pass_road_LDV_4W,LDV_4W,NG,2035,tax,-0.01206
India,trn_pass_road_LDV_4W,LDV_4W,NG,2040,tax,-0.01207
India,trn_pass_road_LDV_4W,LDV_4W,NG,2045,tax,-0.01231
India,trn_pass_road_LDV_4W,LDV_4W,NG,2050,tax,-0.01178
India,trn_pass_road_LDV_4W,LDV_4W,NG,2055,tax,-0.01211
India,trn_pass_road_LDV_4W,LDV_4W,NG,2060,tax,-0.01240
India,trn_pass_road_LDV_4W,LDV_4W,NG,2065,tax,-0.01264
India,trn_pass_road_LDV_4W,LDV_4W,NG,2070,tax,-0.01288
India,trn_pass_road_LDV_4W,LDV_4W,NG,2075,tax,-0.01302
India,trn_pass_road_LDV_4W,LDV_4W,NG,2080,tax,-0.01353
India,trn_pass_road_LDV_4W,LDV_4W,NG,2085,tax,-0.01432
India,trn_pass_road_LDV_4W,LDV_4W,NG,2090,tax,-0.01499
India,trn_pass_road_LDV_4W,LDV_4W,NG,2095,tax,-0.01584
India,trn_pass_road_LDV_4W,LDV_4W,NG,2100,tax,-0.01641
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2010,tax,-0.004562983
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2015,tax,-0.00405575
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,-0.00360
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2025,tax,-0.00320
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2030,tax,-0.00240
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2035,tax,-0.00204
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2040,tax,-0.00195
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2045,tax,-0.00194
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2050,tax,-0.00177
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2055,tax,-0.00149
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2060,tax,-0.00133
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2065,tax,-0.00111
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2070,tax,-0.00095
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2075,tax,-0.00074
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2080,tax,-0.00058
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2085,tax,-0.00037
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2090,tax,-0.00027
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2095,tax,-0.00016
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2100,tax,-0.00003
India,trn_pass_road_LDV,LDV_3W,Electric,2010,tax,0.005246656
India,trn_pass_road_LDV,LDV_3W,Electric,2015,tax,0.004616676
India,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00415
India,trn_pass_road_LDV,LDV_3W,Electric,2025,tax,0.00368
India,trn_pass_road_LDV,LDV_3W,Electric,2030,tax,0.00339
India,trn_pass_road_LDV,LDV_3W,Electric,2035,tax,0.00318
India,trn_pass_road_LDV,LDV_3W,Electric,2040,tax,0.00307
India,trn_pass_road_LDV,LDV_3W,Electric,2045,tax,0.00298
India,trn_pass_road_LDV,LDV_3W,Electric,2050,tax,0.00288
India,trn_pass_road_LDV,LDV_3W,Electric,2055,tax,0.00299
India,trn_pass_road_LDV,LDV_3W,Electric,2060,tax,0.00305
India,trn_pass_road_LDV,LDV_3W,Electric,2065,tax,0.00313
India,trn_pass_road_LDV,LDV_3W,Electric,2070,tax,0.00321
India,trn_pass_road_LDV,LDV_3W,Electric,2075,tax,0.00330
India,trn_pass_road_LDV,LDV_3W,Electric,2080,tax,0.00336
India,trn_pass_road_LDV,LDV_3W,Electric,2085,tax,0.00342
India,trn_pass_road_LDV,LDV_3W,Electric,2090,tax,0.00346
India,trn_pass_road_LDV,LDV_3W,Electric,2095,tax,0.00351
India,trn_pass_road_LDV,LDV_3W,Electric,2100,tax,0.00358
India,trn_pass_road_LDV,LDV_3W,NG,2010,tax,0.006659327
India,trn_pass_road_LDV,LDV_3W,NG,2015,tax,0.005842658
India,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.00397
India,trn_pass_road_LDV,LDV_3W,NG,2025,tax,0.00408
India,trn_pass_road_LDV,LDV_3W,NG,2030,tax,0.00411
India,trn_pass_road_LDV,LDV_3W,NG,2035,tax,0.00420
India,trn_pass_road_LDV,LDV_3W,NG,2040,tax,0.00434
India,trn_pass_road_LDV,LDV_3W,NG,2045,tax,0.00447
India,trn_pass_road_LDV,LDV_3W,NG,2050,tax,0.00462
India,trn_pass_road_LDV,LDV_3W,NG,2055,tax,0.00454
India,trn_pass_road_LDV,LDV_3W,NG,2060,tax,0.00453
India,trn_pass_road_LDV,LDV_3W,NG,2065,tax,0.00451
India,trn_pass_road_LDV,LDV_3W,NG,2070,tax,0.00457
India,trn_pass_road_LDV,LDV_3W,NG,2075,tax,0.00465
India,trn_pass_road_LDV,LDV_3W,NG,2080,tax,0.00444
India,trn_pass_road_LDV,LDV_3W,NG,2085,tax,0.00423
India,trn_pass_road_LDV,LDV_3W,NG,2090,tax,0.00399
India,trn_pass_road_LDV,LDV_3W,NG,2095,tax,0.00375
India,trn_pass_road_LDV,LDV_3W,NG,2100,tax,0.00359
India,trn_pass_road,Bus,Electric,2010,tax,0.091626417
India,trn_pass_road,Bus,Electric,2015,tax,0.064973904
India,trn_pass_road,Bus,Electric,2020,tax,0.04674
India,trn_pass_road,Bus,Electric,2025,tax,0.03769
India,trn_pass_road,Bus,Electric,2030,tax,0.03198
India,trn_pass_road,Bus,Electric,2035,tax,0.02928
India,trn_pass_road,Bus,Electric,2040,tax,0.02766
India,trn_pass_road,Bus,Electric,2045,tax,0.02637
India,trn_pass_road,Bus,Electric,2050,tax,0.02491
India,trn_pass_road,Bus,Electric,2055,tax,0.02584
India,trn_pass_road,Bus,Electric,2060,tax,0.02651
India,trn_pass_road,Bus,Electric,2065,tax,0.02639
India,trn_pass_road,Bus,Electric,2070,tax,0.02788
India,trn_pass_road,Bus,Electric,2075,tax,0.02845
India,trn_pass_road,Bus,Electric,2080,tax,0.02838
India,trn_pass_road,Bus,Electric,2085,tax,0.02892
India,trn_pass_road,Bus,Electric,2090,tax,0.02888
