INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.096467835
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.067363174
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,-0.046314897
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.031275169
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2030,tax,-0.020527278
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2035,tax,-0.016354256
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2040,tax,-0.015353191
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2045,tax,-0.014545345
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2050,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2055,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2060,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2065,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2070,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2075,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2080,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2085,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2090,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2095,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2100,tax,-0.013370848
India,trn_pass_road_LDV_4W,LDV_4W,NG,2010,tax,0.399432022
India,trn_pass_road_LDV_4W,LDV_4W,NG,2015,tax,0.240547729
India,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.104560103
India,trn_pass_road_LDV_4W,LDV_4W,NG,2025,tax,-0.012325349
India,trn_pass_road_LDV_4W,LDV_4W,NG,2030,tax,-0.012144984
India,trn_pass_road_LDV_4W,LDV_4W,NG,2035,tax,-0.011942573
India,trn_pass_road_LDV_4W,LDV_4W,NG,2040,tax,-0.012302791
India,trn_pass_road_LDV_4W,LDV_4W,NG,2045,tax,-0.012070393
India,trn_pass_road_LDV_4W,LDV_4W,NG,2050,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2055,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2060,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2065,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2070,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2075,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2080,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2085,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2090,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2095,tax,-0.011812815
India,trn_pass_road_LDV_4W,LDV_4W,NG,2100,tax,-0.011812815
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2010,tax,-0.004562983
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2015,tax,-0.00405575
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,-0.003604902
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2025,tax,-0.003204171
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2030,tax,-0.002403724
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2035,tax,-0.00203623
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2040,tax,-0.001953911
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2045,tax,-0.001942077
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2050,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2055,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2060,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2065,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2070,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2075,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2080,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2085,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2090,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2095,tax,-0.001770351
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2100,tax,-0.001770351
India,trn_pass_road_LDV,LDV_3W,Electric,2010,tax,0.005246656
India,trn_pass_road_LDV,LDV_3W,Electric,2015,tax,0.004616676
India,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.004117258
India,trn_pass_road_LDV,LDV_3W,Electric,2025,tax,0.003574549
India,trn_pass_road_LDV,LDV_3W,Electric,2030,tax,0.003251111
India,trn_pass_road_LDV,LDV_3W,Electric,2035,tax,0.003014824
India,trn_pass_road_LDV,LDV_3W,Electric,2040,tax,0.002914278
India,trn_pass_road_LDV,LDV_3W,Electric,2045,tax,0.002836508
India,trn_pass_road_LDV,LDV_3W,Electric,2050,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2055,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2060,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2065,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2070,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2075,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2080,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2085,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2090,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2095,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,Electric,2100,tax,0.002766454
India,trn_pass_road_LDV,LDV_3W,NG,2010,tax,0.006659327
India,trn_pass_road_LDV,LDV_3W,NG,2015,tax,0.005842658
India,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.00506322
India,trn_pass_road_LDV,LDV_3W,NG,2025,tax,0.004318469
India,trn_pass_road_LDV,LDV_3W,NG,2030,tax,0.004331039
India,trn_pass_road_LDV,LDV_3W,NG,2035,tax,0.004396245
India,trn_pass_road_LDV,LDV_3W,NG,2040,tax,0.004546754
India,trn_pass_road_LDV,LDV_3W,NG,2045,tax,0.00471415
India,trn_pass_road_LDV,LDV_3W,NG,2050,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2055,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2060,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2065,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2070,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2075,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2080,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2085,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2090,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2095,tax,0.004893622
India,trn_pass_road_LDV,LDV_3W,NG,2100,tax,0.004893622
India,trn_pass_road,Bus,Electric,2010,tax,0.091626417
India,trn_pass_road,Bus,Electric,2015,tax,0.064973904
India,trn_pass_road,Bus,Electric,2020,tax,0.046295763
India,trn_pass_road,Bus,Electric,2025,tax,0.036304708
India,trn_pass_road,Bus,Electric,2030,tax,0.030278633
India,trn_pass_road,Bus,Electric,2035,tax,0.027513817
India,trn_pass_road,Bus,Electric,2040,tax,0.025585422
India,trn_pass_road,Bus,Electric,2045,tax,0.024532687
India,trn_pass_road,Bus,Electric,2050,tax,0.023693797
India,trn_pass_road,Bus,Electric,2055,tax,0.023693797
India,trn_pass_road,Bus,Electric,2060,tax,0.023693797
India,trn_pass_road,Bus,Electric,2065,tax,0.023693797
India,trn_pass_road,Bus,Electric,2070,tax,0.023693797
