INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
India,trn_aviation_intl,2015,1.1
India,trn_aviation_intl,2020,1
India,trn_aviation_intl,2025,1
India,trn_aviation_intl,2030,1
India,trn_aviation_intl,2035,1
India,trn_aviation_intl,2040,1
India,trn_aviation_intl,2045,1
India,trn_aviation_intl,2050,1
India,trn_aviation_intl,2055,1
India,trn_aviation_intl,2060,1
India,trn_aviation_intl,2065,1
India,trn_aviation_intl,2070,1
India,trn_aviation_intl,2075,1
India,trn_aviation_intl,2080,1
India,trn_aviation_intl,2085,1
India,trn_aviation_intl,2090,1
India,trn_aviation_intl,2095,1
India,trn_aviation_intl,2100,1
India,trn_freight,2015,1
India,trn_freight,2020,0.8
India,trn_freight,2025,0.8
India,trn_freight,2030,0.8
India,trn_freight,2035,0.8
India,trn_freight,2040,0.8
India,trn_freight,2045,0.8
India,trn_freight,2050,0.8
India,trn_freight,2055,0.8
India,trn_freight,2060,0.8
India,trn_freight,2065,0.8
India,trn_freight,2070,0.8
India,trn_freight,2075,0.8
India,trn_freight,2080,0.8
India,trn_freight,2085,0.8
India,trn_freight,2090,0.8
India,trn_freight,2095,0.8
India,trn_freight,2100,0.8
India,trn_pass,2015,1.35
India,trn_pass,2020,1
India,trn_pass,2025,1
India,trn_pass,2030,1
India,trn_pass,2035,1
India,trn_pass,2040,1
India,trn_pass,2045,1
India,trn_pass,2050,1
India,trn_pass,2055,1
India,trn_pass,2060,1
India,trn_pass,2065,1
India,trn_pass,2070,1
India,trn_pass,2075,1
India,trn_pass,2080,1
India,trn_pass,2085,1
India,trn_pass,2090,1
India,trn_pass,2095,1
India,trn_pass,2100,1
