INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaTranTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
India,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2010,2015,0,0,fixed
India,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2015,2020,0.001,0.001,fixed
India,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2020,2025,0.005,0.005,fixed
India,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2025,2030,0.04,0.04,fixed
India,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2030,2050,0.04,1,linear
India,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2050,2100,1,1,fixed
India,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2010,2015,0,0,fixed
India,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2015,2020,0.1,0.1,fixed
India,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2020,2050,0.1,1,linear
India,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2050,2100,1,1,fixed
India,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2010,2015,0,0,fixed
India,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2015,2020,0.1,0.1,fixed
India,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2020,2050,0.1,1,linear
India,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2050,2100,1,1,fixed
India,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
India,trn_pass_road,Bus,Electric,share-weight,2015,2020,0.001,0.001,fixed
India,trn_pass_road,Bus,Electric,share-weight,2020,2025,0.005,0.005,fixed
India,trn_pass_road,Bus,Electric,share-weight,2025,2030,0.04,0.04,fixed
India,trn_pass_road,Bus,Electric,share-weight,2030,2050,0.04,1,linear
India,trn_pass_road,Bus,Electric,share-weight,2050,2100,1,1,fixed
India,trn_pass_road,Bus,NG,share-weight,2050,2100,1,1,fixed
India,trn_pass_road,Bus,NG,share-weight,2010,2015,0.03,0.03,fixed
India,trn_pass_road,Bus,NG,share-weight,2015,2050,0.03,0.5,linear
India,trn_pass_road,Bus,NG,share-weight,2045,2050,0.5,0.5,fixed
India,trn_pass_road,Bus,NG,share-weight,2050,2100,0.5,1,linear
India,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0.02,0.02,fixed
India,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2050,0.02,0.5,linear
India,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.5,0.5,fixed
India,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.5,1,linear
India,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.02,0.02,fixed
India,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.02,0.5,linear
India,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.5,0.5,fixed
India,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.5,1,linear
India,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
India,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
India,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
India,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
India,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
India,trn_freight_road,Truck,Electric,share-weight,2010,2020,0,0,fixed
India,trn_freight_road,Truck,Electric,share-weight,2020,2025,0.001,0.001,fixed
India,trn_freight_road,Truck,Electric,share-weight,2025,2030,0.04,0.04,fixed
India,trn_freight_road,Truck,Electric,share-weight,2030,2050,0.04,0.2,linear
India,trn_freight_road,Truck,Electric,share-weight,2045,2050,0.2,0.2,fixed
India,trn_freight_road,Truck,Electric,share-weight,2050,2100,0.2,1,linear
India,trn_freight_road,Truck,Electric,share-weight,2095,2100,1,1,fixed
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2010,2025,0,0,fixed
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2025,2070,0.01,0.04,linear
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2065,2070,0.04,0.04,fixed
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2070,2100,0.04,0.25,linear
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2095,2100,0.25,0.25,fixed
India,trn_freight_road,Truck,FCEV,share-weight,2010,2025,0,0,fixed
India,trn_freight_road,Truck,FCEV,share-weight,2025,2070,0.01,0.04,linear
India,trn_freight_road,Truck,FCEV,share-weight,2065,2070,0.04,0.04,fixed
India,trn_freight_road,Truck,FCEV,share-weight,2065,2100,0.04,0.25,linear
India,trn_freight_road,Truck,FCEV,share-weight,2095,2100,0.25,0.25,fixed
India,trn_pass,HSR,Electric,share-weight,2010,2025,0,0,fixed
India,trn_pass,HSR,Electric,share-weight,2025,2100,0,1,linear
