INPUT_TABLE,,,,,,
Variable ID,,,,,,
NationalIndustryAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,H2 industrial,H2 delivery,H2 delivery,1990,tax,0
India,H2 industrial,H2 delivery,H2 delivery,2005,tax,0
India,H2 industrial,H2 delivery,H2 delivery,2010,tax,0
India,H2 industrial,H2 delivery,H2 delivery,2015,tax,0
India,H2 industrial,H2 delivery,H2 delivery,2020,tax,0.0835
India,H2 industrial,H2 delivery,H2 delivery,2025,tax,-3.48114
India,H2 industrial,H2 delivery,H2 delivery,2030,tax,-0.31833
India,H2 industrial,H2 delivery,H2 delivery,2035,tax,-1.10157
India,H2 industrial,H2 delivery,H2 delivery,2040,tax,-2.23479
India,H2 industrial,H2 delivery,H2 delivery,2045,tax,-3.30956
India,H2 industrial,H2 delivery,H2 delivery,2050,tax,-4.75427
India,H2 industrial,H2 delivery,H2 delivery,2055,tax,-4.79893
India,H2 industrial,H2 delivery,H2 delivery,2060,tax,-4.75517
India,H2 industrial,H2 delivery,H2 delivery,2065,tax,-4.61131
India,H2 industrial,H2 delivery,H2 delivery,2070,tax,-4.58959
India,H2 industrial,H2 delivery,H2 delivery,2075,tax,-4.58959
India,H2 industrial,H2 delivery,H2 delivery,2080,tax,-4.58959
India,H2 industrial,H2 delivery,H2 delivery,2085,tax,-4.58959
India,H2 industrial,H2 delivery,H2 delivery,2090,tax,-4.58959
India,H2 industrial,H2 delivery,H2 delivery,2095,tax,-4.58959
India,H2 industrial,H2 delivery,H2 delivery,2100,tax,-4.58959
India,delivered biomass,delivered biomass,delivered biomass,1990,tax,0.03341
India,delivered biomass,delivered biomass,delivered biomass,2005,tax,0.03984
India,delivered biomass,delivered biomass,delivered biomass,2010,tax,0.01965
India,delivered biomass,delivered biomass,delivered biomass,2015,tax,-0.04621
India,delivered biomass,delivered biomass,delivered biomass,2020,tax,-0.01236
India,delivered biomass,delivered biomass,delivered biomass,2025,tax,0.1025
India,delivered biomass,delivered biomass,delivered biomass,2030,tax,0.12308
India,delivered biomass,delivered biomass,delivered biomass,2035,tax,0.15744
India,delivered biomass,delivered biomass,delivered biomass,2040,tax,0.16797
