INPUT_TABLE,,,,,,
Variable ID,,,,,,
NationalIndustryAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,H2 industrial,forecourt production,electrolysis,1990,tax,0
India,H2 industrial,forecourt production,electrolysis,2005,tax,0
India,H2 industrial,forecourt production,electrolysis,2010,tax,0
India,H2 industrial,forecourt production,electrolysis,2015,tax,0
India,H2 industrial,forecourt production,electrolysis,2020,tax,-0.8402
India,H2 industrial,forecourt production,electrolysis,2025,tax,-1.1469
India,H2 industrial,forecourt production,electrolysis,2030,tax,2.9888
India,H2 industrial,forecourt production,electrolysis,2035,tax,2.7972
India,H2 industrial,forecourt production,electrolysis,2040,tax,2.6145
India,H2 industrial,forecourt production,electrolysis,2045,tax,2.494
India,H2 industrial,forecourt production,electrolysis,2050,tax,2.3244
India,H2 industrial,forecourt production,electrolysis,2055,tax,2.0867
India,H2 industrial,forecourt production,electrolysis,2060,tax,1.8353
India,H2 industrial,forecourt production,electrolysis,2065,tax,1.5598
India,H2 industrial,forecourt production,electrolysis,2070,tax,1.3356
India,H2 industrial,forecourt production,electrolysis,2075,tax,1.2005
India,H2 industrial,forecourt production,electrolysis,2080,tax,1.1585
India,H2 industrial,forecourt production,electrolysis,2085,tax,1.123
India,H2 industrial,forecourt production,electrolysis,2090,tax,1.0144
India,H2 industrial,forecourt production,electrolysis,2095,tax,0.8315
India,H2 industrial,forecourt production,electrolysis,2100,tax,0.8475
India,delivered biomass,delivered biomass,delivered biomass,2010,tax,0.0189
India,delivered biomass,delivered biomass,delivered biomass,2015,tax,-0.0435
India,delivered biomass,delivered biomass,delivered biomass,2020,tax,-0.0368
India,delivered biomass,delivered biomass,delivered biomass,2025,tax,0.0459
India,delivered biomass,delivered biomass,delivered biomass,2030,tax,0.0663
India,delivered biomass,delivered biomass,delivered biomass,2035,tax,0.0964
India,delivered biomass,delivered biomass,delivered biomass,2040,tax,0.1004
India,delivered biomass,delivered biomass,delivered biomass,2045,tax,0.0918
India,delivered biomass,delivered biomass,delivered biomass,2050,tax,0.0801
India,delivered biomass,delivered biomass,delivered biomass,2055,tax,0.0728
India,delivered biomass,delivered biomass,delivered biomass,2060,tax,0.0888
India,delivered biomass,delivered biomass,delivered biomass,2065,tax,0.1
India,delivered biomass,delivered biomass,delivered biomass,2070,tax,0.1161
India,delivered biomass,delivered biomass,delivered biomass,2075,tax,0.1275
India,delivered biomass,delivered biomass,delivered biomass,2080,tax,0.1513
India,delivered biomass,delivered biomass,delivered biomass,2085,tax,0.1722
India,delivered biomass,delivered biomass,delivered biomass,2090,tax,0.1793
India,delivered biomass,delivered biomass,delivered biomass,2095,tax,0.184
India,delivered biomass,delivered biomass,delivered biomass,2100,tax,0.1821
